N; T. total; T. medio; X; Y; T. total optimizado; T. medio optimizado; X; Y
10; 0.454498; 0.000005;3.000000; 11.000000;0.452115; 0.000005;3.000000; 11.000000 
100; 0.537071; 0.000005;9.949874; 101.000000;0.530515; 0.000005;9.949874; 101.000000 
1000; 2.164715; 0.000022;31.606962; 1001.000000;2.162903; 0.000022;31.606962; 1001.000000 
10000; 18.345381; 0.000183;99.995003; 10001.000000;18.467451; 0.000185;99.995003; 10001.000000 
100000; 180.288948; 0.001803;316.226196; 100001.000000;181.513590; 0.001815;316.226196; 100001.000000 
10; 0.453372; 0.000005;3.000000; 11.000000;0.453740; 0.000005;3.000000; 11.000000 
100; 0.470021; 0.000005;9.949874; 101.000000;0.453693; 0.000005;9.949874; 101.000000 
1000; 1.514734; 0.000015;31.606962; 1001.000000;1.040017; 0.000010;31.606962; 1001.000000 
10000; 11.830518; 0.000118;99.995003; 10001.000000;7.219330; 0.000072;99.995003; 10001.000000 
100000; 114.942187; 0.001149;316.226196; 100001.000000;69.044294; 0.000690;316.226196; 100001.000000 
10; 0.455741; 0.000005;3.000000; 11.000000;0.451568; 0.000005;3.000000; 11.000000 
100; 0.455904; 0.000005;9.949874; 101.000000;0.454760; 0.000005;9.949874; 101.000000 
1000; 1.336401; 0.000013;31.606962; 1001.000000;0.878906; 0.000009;31.606962; 1001.000000 
10000; 10.128875; 0.000101;99.995003; 10001.000000;5.608550; 0.000056;99.995003; 10001.000000 
100000; 98.030437; 0.000980;316.226196; 100001.000000;52.884574; 0.000529;316.226196; 100001.000000 
10; 0.453480; 0.000005;3.000000; 11.000000;0.454091; 0.000005;3.000000; 11.000000 
100; 0.457381; 0.000005;9.949874; 101.000000;0.458074; 0.000005;9.949874; 101.000000 
1000; 0.990776; 0.000010;31.606962; 1001.000000;0.878866; 0.000009;31.606962; 1001.000000 
10000; 6.630820; 0.000066;99.995003; 10001.000000;5.604977; 0.000056;99.995003; 10001.000000 
100000; 63.181213; 0.000632;316.226196; 100001.000000;52.887055; 0.000529;316.226196; 100001.000000 
